Source;Author
First;Last
Author;author
Source;author
Title;title
Pages;pages
Year;year
Volume;volume
URL;url
Month;Day
article;Article
journal;Journal
Journal;Issue
number;Issue
journal;Issue
Source;@Source
AffiliationInfo;Affiliation
PublicationTypeList;PublicationType
ArticleTitle;ArticleDate
City;Country
author;Authors
Author;Authors
Tag;Link
Affiliation;Affiliations
AffiliationInfo;Affiliations
ISSN;ISBN
